Profile,C1_a,C1_b,C1_c,C2_a,C2_b,C2_c,F1,F2,P1_a,P1_b,P1_c,P2_a,P2_b,P2_c
1,9,8,8,9,8,8,9,9,9,8,8,9,8,8
2,9,8,8,9,7,8,8,8,8,8,8,8,7,8
3,8,7,7,8,6,7,9,9,8,7,7,8,6,7
4,8,6,6,7,6,6,8,8,8,6,6,7,6,6
5,9,7,7,9,7,8,0,8,0,0,0,8,7,8
6,9,7,7,9,7,8,0,8,0,0,0,8,7,8
7,9,7,7,9,7,8,7,7,7,7,7,7,7,7
8,9,7,7,9,7,7,8,8,8,7,7,8,7,7
9,7,6,6,7,6,6,9,9,7,6,6,7,6,6
10,7,6,6,7,6,6,6,6,6,6,6,6,6,6
11,9,8,8,9,8,8,0,8,0,0,0,8,8,8
12,10,9,9,10,9,9,9,9,9,9,9,9,9,9
13,10,7,8,10,8,8,9,9,9,7,8,9,8,8
14,7,6,6,7,6,6,8,8,7,6,6,7,6,6
15,7,6,6,7,6,6,9,9,7,6,6,7,6,6
16,9,7,7,8,6,7,9,9,9,7,7,8,6,7
17,7,6,6,7,6,6,6,6,6,6,6,6,6,6
18,9,8,8,9,8,8,8,8,8,8,8,8,8,8
19,7,6,6,7,6,6,8,8,7,6,6,7,6,6
20,7,6,6,7,6,6,8,8,7,6,6,7,6,6
21,7,6,6,7,6,6,8,8,7,6,6,7,6,6
22,9,8,8,9,8,8,7,7,7,7,7,7,7,7
23,9,8,8,9,8,8,9,9,9,8,8,9,8,8
24,10,9,9,10,9,9,0,6,0,0,0,6,6,6
25,7,6,6,7,6,6,6,6,6,6,6,6,6,6
26,8,6,7,8,7,7,0,8,0,0,0,8,7,7
27,10,10,10,10,10,10,9,9,9,9,9,9,9,9
28,8,7,7,8,7,7,7,7,7,7,7,7,7,7
29,8,6,6,8,6,7,8,8,8,6,6,8,6,7
30,8,6,6,8,6,7,7,7,7,6,6,7,6,7
31,9,7,7,9,7,7,0,10,0,0,0,9,7,7
32,7,6,6,7,6,6,6,6,6,6,6,6,6,6
33,8,6,6,8,6,7,8,8,8,6,6,8,6,7
34,8,5,7,8,7,7,8,8,8,5,7,8,7,7
35,8,6,7,8,7,7,8,8,8,6,7,8,7,7
36,9,6,8,9,7,8,0,10,0,0,0,9,7,8
37,10,9,10,10,9,10,7,7,7,7,7,7,7,7
38,7,6,6,7,6,6,0,9,0,0,0,7,6,6
39,8,6,6,8,6,7,0,10,0,0,0,8,6,7
40,8,7,7,8,7,7,8,8,8,7,7,8,7,7
41,8,7,7,8,6,7,8,8,8,7,7,8,6,7
42,8,7,7,8,7,8,6,6,6,6,6,6,6,6
43,10,8,8,9,8,9,0,10,0,0,0,9,8,9
44,10,8,8,9,8,8,0,10,0,0,0,9,8,8
45,10,10,10,10,10,10,10,10,10,10,10,10,10,10
46,9,7,7,8,7,8,8,8,8,7,7,8,7,8
47,9,7,8,9,7,8,0,10,0,0,0,9,7,8
48,8,7,7,8,7,7,0,6,0,0,0,6,6,6
49,9,7,8,9,7,8,8,8,8,7,8,8,7,8
50,10,10,10,10,10,10,9,9,9,9,9,9,9,9
51,9,7,7,9,8,8,0,9,0,0,0,9,8,8
52,6,6,6,6,6,6,6,6,6,6,6,6,6,6
53,8,7,7,8,7,8,0,8,0,0,0,8,7,8
54,9,7,8,9,8,9,9,9,9,7,8,9,8,9
55,7,6,6,7,6,6,7,7,7,6,6,7,6,6
56,10,10,10,10,10,10,0,10,0,0,0,10,10,10
57,10,8,9,10,8,9,9,9,9,8,9,9,8,9
58,8,6,7,8,7,7,8,8,8,6,7,8,7,7
59,8,6,7,8,7,7,8,8,8,6,7,8,7,7
60,10,6,8,10,7,9,9,9,9,6,8,9,7,9
61,8,6,7,8,7,7,7,7,7,6,7,7,7,7
62,10,9,10,10,9,10,9,9,9,9,9,9,9,9
63,10,9,10,10,8,9,0,8,0,0,0,8,8,8
64,7,5,6,7,5,6,6,6,6,5,6,6,5,6
65,8,7,7,8,7,7,0,8,0,0,0,8,7,7
66,8,7,7,8,7,8,0,8,0,0,0,8,7,8
67,9,8,8,9,8,8,8,8,8,8,8,8,8,8
68,8,7,7,8,6,7,8,8,8,7,7,8,6,7
69,8,7,7,8,6,7,8,8,8,7,7,8,6,7
70,7,6,6,7,6,6,8,8,7,6,6,7,6,6
71,10,9,10,10,10,10,8,8,8,8,8,8,8,8
72,7,6,6,7,6,7,7,7,7,6,6,7,6,7
73,7,6,6,7,6,6,7,7,7,6,6,7,6,6
74,8,8,8,8,8,8,8,8,8,8,8,8,8,8
75,7,6,6,7,6,6,6,6,6,6,6,6,6,6
76,8,7,7,8,7,7,7,7,7,7,7,7,7,7
77,7,6,6,7,5,6,7,7,7,6,6,7,5,6
78,8,6,7,8,7,7,8,8,8,6,7,8,7,7
79,10,9,10,10,10,10,9,9,9,9,9,9,9,9
80,9,7,8,9,7,8,0,10,0,0,0,9,7,8
81,8,6,6,8,7,7,8,8,8,6,6,8,7,7
82,7,6,6,7,6,6,6,6,6,6,6,6,6,6
83,7,6,6,7,6,6,7,7,7,6,6,7,6,6
84,10,10,10,10,10,10,0,10,0,0,0,10,10,10
85,8,7,7,8,7,7,7,7,7,7,7,7,7,7
86,8,6,6,8,7,7,7,7,7,6,6,7,7,7
87,7,6,6,7,6,6,0,7,0,0,0,7,6,6
88,10,10,10,10,10,10,0,8,0,0,0,8,8,8
89,10,10,10,10,10,10,8,8,8,8,8,8,8,8
90,10,9,10,10,9,10,9,9,9,9,9,9,9,9
91,7,6,6,7,6,6,7,7,7,6,6,7,6,6
92,7,6,6,7,6,6,6,6,6,6,6,6,6,6
93,7,6,6,7,6,6,6,6,6,6,6,6,6,6
94,10,10,10,10,10,10,7,7,7,7,7,7,7,7
95,7,6,6,7,6,7,0,8,0,0,0,7,6,7
96,8,6,7,8,6,7,8,8,8,6,7,8,6,7
97,8,7,7,8,7,8,0,8,0,0,0,8,7,8
98,8,7,7,8,7,8,0,0,0,0,0,0,0,0
99,8,6,7,8,7,7,7,7,7,6,7,7,7,7
100,8,6,7,8,7,7,8,8,8,6,7,8,7,7
