Failure Profile,Profile A,Profile B,Profile C
1,9,9,9
3,9,9,9
4,8,8,8
5,7,8,8
6,8,8,8
7,7,7,7
8,8,8,8
9,9,9,9
11,8,8,8
15,9,9,9
17,6,6,6
18,7,7,7
19,8,8,8
20,8,8,8
22,7,7,7
23,9,9,9
26,8,3,8
27,9,9,9
28,7,7,7
29,8,8,8
30,7,7,7
31,10,10,10
32,6,6,6
33,8,8,8
34,8,8,8
36,3,10,10
37,7,7,7
39,10,3,10
40,8,8,8
42,6,6,6
43,10,10,10
45,10,10,10
46,8,8,8
47,1,1,1
48,6,6,6
49,8,8,8
50,9,9,9
52,6,6,6
53,7,7,7
54,9,9,9
55,7,7,7
56,10,9,10
58,8,8,8
59,8,8,8
61,7,7,7
65,5,8,8
66,8,8,8
68,8,8,8
69,8,8,8
70,8,7,8
73,7,7,7
76,7,7,7
77,7,7,7
78,8,8,8
79,2,9,9
81,8,8,8
82,6,6,6
83,7,7,7
84,10,10,10
86,7,7,7
88,8,8,8
89,1,8,8
91,3,3,3
93,6,6,6
94,7,7,7
95,7,7,6
96,8,8,8
98,9,9,9
99,7,7,7
100,7,7,7
