Failure Profile,Profile A,Profile B,Profile C
1,9,8,8
2,-1,-1,-1
3,8,7,7
4,8,6,6
5,8,7,7
6,8,7,7
7,7,7,7
8,8,7,7
9,7,6,6
10,-1,-1,-1
11,-1,-1,-1
12,-1,-1,-1
13,-1,-1,-1
14,-1,-1,-1
15,7,6,6
16,-1,-1,-1
17,6,6,6
18,8,8,8
19,7,6,6
20,7,6,6
21,-1,-1,-1
22,7,7,7
23,9,8,8
24,-1,-1,-1
25,-1,-1,-1
26,8,6,7
27,9,9,9
28,7,7,7
29,8,6,6
30,7,6,6
31,9,7,7
32,6,6,6
33,8,6,6
34,8,5,7
35,-1,-1,-1
36,9,6,8
37,7,7,7
38,-1,-1,-1
39,8,6,6
40,8,7,7
41,-1,-1,-1
42,6,6,6
43,10,8,8
44,-1,-1,-1
45,10,10,10
46,8,7,7
47,9,7,8
48,6,6,6
49,8,7,8
50,9,9,9
51,-1,-1,-1
52,6,6,6
53,8,7,7
54,9,7,8
55,7,6,6
56,10,10,10
57,-1,-1,-1
58,8,6,7
59,8,6,7
60,-1,-1,-1
61,7,6,7
62,-1,-1,-1
63,-1,-1,-1
64,-1,-1,-1
65,8,7,7
66,8,7,7
67,-1,-1,-1
68,8,7,7
69,8,7,7
70,7,6,6
71,-1,-1,-1
72,-1,-1,-1
73,7,6,6
74,-1,-1,-1
75,-1,-1,-1
76,7,7,7
77,7,6,6
78,8,6,7
79,9,9,9
80,-1,-1,-1
81,8,6,6
82,6,6,6
83,7,6,6
84,10,10,10
85,-1,-1,-1
86,7,6,6
87,-1,-1,-1
88,8,8,8
89,8,8,8
90,-1,-1,-1
91,-1,-1,-1
92,-1,-1,-1
93,6,6,6
94,7,7,7
95,7,6,6
96,8,6,7
97,-1,-1,-1
98,9,9,9
99,7,6,7
100,8,6,7
