Failure Profile,Profile A,Profile B,Profile C
1,9,8,8
3,8,6,7
4,7,6,6
5,100,7,8
6,9,7,8
7,9,7,8
8,9,7,8
9,7,6,6
11,9,8,8
15,7,6,6
17,100,6,6
18,100,8,8
19,7,6,6
20,100,5,5
22,9,8,8
23,9,8,8
26,100,7,7
27,100,100,100
28,100,1,7
29,8,6,7
30,100,6,6
31,9,7,7
32,100,6,6
33,8,1,6
34,8,6,7
36,9,6,8
37,1,1,1
39,8,5,6
40,8,7,7
42,8,7,7
43,9,8,8
45,100,1,100
46,100,7,7
47,9,7,8
48,8,7,7
49,100,7,8
50,100,1,100
52,100,4,5
53,100,7,8
54,100,8,8
55,7,6,6
56,100,1,100
58,8,6,7
59,8,6,7
61,100,6,7
65,5,7,7
66,100,7,7
68,8,5,7
69,8,6,7
70,7,4,6
73,100,3,5
76,100,7,7
77,7,5,6
78,8,6,7
79,100,1,1
81,8,1,6
82,100,1,5
83,7,4,5
84,100,1,1
86,8,1,6
88,100,1,100
89,100,1,100
91,7,5,6
93,100,6,6
94,100,1,1
95,100,5,5
96,8,6,7
98,100,1,1
99,100,5,7
100,8,6,7
