,Cooling System 1 Flow,Fuel System 2  Injector Flow,Cooling System 2 Flow,Fuel System 1  Injector Flow,Fuel System 2  Service Flow,Fuel System 1  Service Flow,Fuel System 1  HP Relief Flow,Fuel System 2  HP Relief Flow
0,6.453,7.144,6.666,6.884,10.531,11.111,5.883,6.666
1,6.453,7.144,6.666,7.142,10.522,10.524,5.883,6.666
2,6.453,7.406,6.666,7.142,10.526,10.524,5.882,6.666
3,6.249,7.406,6.668,7.142,10.526,11.111,5.882,6.669
4,6.249,7.406,6.668,6.897,10.531,11.111,5.882,6.669
5,6.249,7.41,6.668,6.897,10.531,10.526,5.882,6.669
6,6.452,7.41,6.666,6.896,10.522,10.526,5.883,6.665
7,6.452,7.41,6.666,6.896,10.522,11.111,5.883,6.665
8,6.452,7.143,6.666,6.896,10.526,10.528,5.883,6.665
9,6.452,7.143,6.666,7.073,10.526,10.528,6.053,6.897
10,6.251,7.143,6.45,7.073,10.531,11.111,6.053,6.897
11,6.251,7.692,6.45,7.073,10.531,11.111,6.053,6.897
12,6.251,7.692,6.45,6.962,10.52,10.524,5.891,6.666
13,6.348,7.408,6.668,6.962,10.52,10.524,5.891,6.666
14,6.348,7.408,6.668,6.962,10.522,11.111,5.891,6.666
15,6.348,7.408,6.668,6.897,10.522,11.111,5.891,6.667
16,6.353,7.407,6.658,6.897,10.535,11.111,6.058,6.667
17,6.353,7.407,6.658,6.897,10.535,11.111,6.058,6.667
18,6.353,7.407,6.658,6.896,10.526,10.935,6.058,6.896
19,6.248,7.141,6.459,6.896,10.526,10.687,6.052,6.896
20,6.248,7.141,6.459,6.896,10.522,10.687,6.052,6.896
21,6.248,7.141,6.459,7.143,10.531,11.111,6.052,6.897
22,6.452,7.143,6.455,7.143,10.531,11.111,5.89,6.897
23,6.452,7.143,6.455,7.143,10.524,11.109,5.89,6.897
24,6.452,7.143,6.455,6.897,10.524,11.109,5.89,6.669
25,6.249,7.143,6.666,6.897,10.528,10.526,5.89,6.669
26,6.249,7.143,6.666,6.897,10.528,10.526,6.063,6.669
27,6.249,7.142,6.666,6.896,10.528,11.116,6.063,6.668
28,6.249,7.142,6.451,6.896,10.528,11.116,6.063,6.668
29,6.447,7.142,6.451,6.897,10.524,10.524,5.88,6.668
30,6.447,7.41,6.451,6.897,10.524,11.106,5.88,6.667
31,6.447,7.41,6.656,6.897,10.522,11.106,5.88,6.667
32,6.255,7.41,6.656,6.899,10.522,10.531,6.059,6.667
33,6.255,7.406,6.656,6.899,10.531,10.531,6.059,6.625
34,6.255,7.406,6.459,6.899,10.531,11.106,6.059,6.625
35,6.251,6.897,6.459,6.894,10.526,11.106,6.059,6.625
36,6.251,6.897,6.459,6.894,10.526,10.528,6.063,6.708
37,6.251,6.897,6.455,6.894,10.528,10.528,6.063,6.708
38,6.254,7.376,6.455,6.885,11.042,11.114,6.063,6.708
39,6.254,7.376,6.455,6.885,11.042,11.114,6.06,6.665
