Run,F1_HP_Clog_Type,F1_HP_Clog_Value1,F1_HP_Clog_Value2,F1_HP_Leak_Time,F1_HP_Leak_Profile,F1_LP_Clog_Type,F1_LP_Clog_Value1,F1_LP_Clog_Value2,F1_LP_Clog_LeakTime,F1_LP_Leak_Profile,F2_HP_Clog_Type,F2_HP_Clog_Value1,F2_HP_Clog_Value2,F2_HP_Clog_LeakTime,F2_HP_Clog_Profile,F2_LP_Clog_Type,F2_LP_Clog_Value1,F2_LP_Clog_Value2,F2_LP_Clog_LeakTime,F2_LP_Clog_Profile,C1_Clog_Type,C1_Clog_Value1,C1_Clog_Value2,C1_Clog_LeakTime,C1_Clog_LeakProfile,C2_Clog_Type,C2_Clog_Value1,C2_Clog_Value2,C2_Clog_LeakTime,C2_Clog_Profile,F1_HP_RampRate,F1_HP_RampTime,F1_LP_RampRate,F1_LP_RampTime,F2_HP_RampRate,F2_HP_RampTime,F2_LP_RampRate,F2_LP_RampTime,C1_RampRate,C1_RampTime,C1_RampRate1,C1_RampTime1,ProfileCount,Run_Count,RunCount
1,0,0.1,0,0,0,0,1.46247614591113,0,0,0,0,0.1,0,0,0,0,1.46247614591113,0,0,0,0,0.750985395713158,0,0,0,0,1.6247000016686,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,9
2,0,0.1,0,0,0,0,1.63885809778356,0,0,0,0,0.1,0,0,0,0,1.63885809778356,0,0,0,0,2.43723963641182,0,0,0,0,3.13645789821097,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,9
3,0,0.0946277939111511,0,0,0,0,1.79962051517114,0,0,0,0,0.0946277939111511,0,0,0,0,1.79962051517114,0,0,0,0,4.32356884320859,0,0,0,0,5.41224586194612,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,9
4,0,1.52206980217809,0,0,0,0,2.01342436651428,0,0,0,0,1.52206980217809,0,0,0,0,2.01342436651428,0,0,0,0,5.80915952502894,0,0,0,0,6.52193757854642,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,9
5,0,2.60670774700567,0,0,0,0,2.55900671881378,0,0,0,0,2.60670774700567,0,0,0,0,2.55900671881378,0,0,0,0,6.66905855263037,0,0,0,0,7.20720309484089,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,9
6,0,3.27331245280269,0,0,0,0,3.14573478198933,0,0,0,0,3.27331245280269,0,0,0,0,3.14573478198933,0,0,0,0,7.38444185058214,0,0,0,0,7.72885636934036,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,9
7,0,4.31741020132975,0,0,0,0,4.56117019679441,0,0,0,0,4.31741020132975,0,0,0,0,4.56117019679441,0,0,0,0,7.6,0,0,0,0,7.8,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,9
8,0,6.05737224447832,0,0,0,0,5.6671487394862,0,0,0,0,6.05737224447832,0,0,0,0,5.6671487394862,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,9
9,0,6.70387134807282,0,0,0,0,6,0,0,0,0,6.70387134807282,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,9
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,3,,9
